Gender x1	HL1 x2	HL2 x3	y
0	99	73	1
1	13	82	0
0	49	58	0
1	2	97	0
1	93	39	0
0	26	8	0
0	7	62	0
1	10	10	0
0	91	47	0
1	72	84	0
1	16	71	0
1	23	14	0
0	93	66	0
0	75	31	0
0	48	11	0
1	65	50	0
0	41	76	0
0	61	13	0
1	28	82	0
0	16	59	0
1	88	23	1
0	40	62	0
1	57	14	0
0	6	90	0
1	85	73	1
1	87	98	1
1	40	53	0
1	69	54	0
0	35	48	0
0	62	72	0
0	3	63	0
1	82	96	1
0	50	27	0
1	97	6	0
1	29	19	0
1	19	69	0
0	89	20	0
1	77	25	0
0	31	72	0
0	38	4	0
1	27	52	0
1	5	36	0
1	66	32	0
1	90	88	1
0	53	15	0
1	4	8	0
1	61	13	0
1	66	63	0
0	85	6	0
1	89	32	0
1	9	97	0
0	80	84	0
0	85	50	0
0	22	86	0
0	7	50	0
0	51	50	0
0	42	21	0
0	24	81	0
1	40	84	0
0	44	53	0
1	24	14	0
1	7	62	0
1	56	8	0
1	21	17	0
1	63	95	1
1	76	2	0
0	16	30	0
1	90	62	0
1	54	3	0
0	32	95	0
1	79	27	0
0	61	76	1
0	84	22	0
1	13	57	0
1	29	97	0
1	73	86	1
0	35	10	0
0	15	71	0
1	18	26	0
1	43	54	0
1	73	34	0
1	11	91	0
1	7	91	0
0	11	95	0
1	41	99	0
0	79	90	1
0	74	22	0
1	24	81	0
1	96	77	1
1	92	58	1
0	15	53	0
0	42	52	0
0	96	93	1
0	2	78	0
0	2	29	0
0	17	72	0
1	15	62	0
1	63	44	0
1	50	71	0
0	77	3	0
0	94	61	0
0	65	40	0
0	55	34	0
1	65	9	0
1	20	72	0
0	85	61	0
1	76	53	0
0	73	55	0
0	37	22	0
1	69	9	0
0	31	62	0
1	63	56	1
1	73	77	1
1	13	83	0
1	69	21	0
1	19	89	0
0	16	11	0
0	19	10	0
1	66	73	0
0	64	42	0
1	27	55	0
0	23	15	0
1	75	33	0
1	15	49	0
0	58	87	0
0	10	87	0
1	100	100	1
1	30	45	0
0	90	40	1
0	12	21	0
0	73	7	0
0	28	80	0
0	80	79	1
0	38	49	0
0	58	8	0
1	91	59	0
1	34	53	0
1	7	79	0
1	41	78	0
1	94	11	0
0	49	39	0
1	41	9	0
1	34	53	0
1	8	94	0
0	62	91	0
0	89	93	1
1	33	41	0
0	84	92	1
1	59	63	0
0	77	78	1
0	42	32	0
0	3	61	0
0	65	32	0
0	27	18	0
0	70	83	0
0	7	56	0
0	34	3	0
0	80	17	0
0	99	85	1
1	88	25	0
0	96	98	1
0	77	18	0
1	4	53	0
0	95	11	0
0	80	94	0
1	27	1	0
1	50	51	0
1	61	4	0
0	10	81	0
1	70	48	0
1	19	86	0
0	12	68	0
1	43	93	1
0	52	72	0
0	25	85	0
1	96	59	1
1	66	14	0
1	65	76	1
1	39	45	0
1	77	71	0
1	39	84	1
0	25	54	0
1	54	22	0
1	56	36	0
0	99	63	0
1	91	36	0
1	73	70	1
1	53	16	0
1	49	10	0
0	29	53	0
0	52	14	0
1	44	45	0
0	75	85	0
1	41	63	0
1	2	73	0
0	96	26	0
0	82	31	1
0	8	91	0
1	67	73	1
1	75	23	0
