milk	water	biscuits	coffee	brioches	yoghurt	frozen vegetables	tunny	beer	tomato souce	coke	rice	juices	crackers	oil	frozen fish	ice cream	mozzarella	tinned meat
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	0
1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0
0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0
1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
