id	age	sex	region	income	married	children	car	save_act	current_act	mortgage	pep
ID12101	48	0	0	17546	0	1	0	0	0	0	1
ID12102	40	1	3	30085.1	1	3	1	0	1	1	0
ID12103	51	0	0	16575.4	1	0	1	1	1	0	0
ID12104	23	0	3	20375.4	1	3	0	0	1	0	0
ID12105	57	0	1	50576.3	1	0	0	1	0	0	0
ID12106	57	0	3	37869.6	1	2	0	1	1	0	1
ID12107	22	1	1	8877.07	0	0	0	0	1	0	1
ID12108	58	1	3	24946.6	1	0	1	1	1	0	0
ID12109	37	0	2	25304.3	1	2	1	0	0	0	0
ID12110	54	1	3	24212.1	1	2	1	1	1	0	0
ID12111	66	0	3	59803.9	1	0	0	1	1	0	0
ID12112	52	0	0	26658.8	0	0	1	1	1	1	0
ID12113	44	0	3	15735.8	1	1	0	1	1	1	1
ID12114	66	0	3	55204.7	1	1	1	1	1	1	1
ID12115	36	1	1	19474.6	1	0	0	1	1	1	0
ID12116	38	0	0	22342.1	1	0	1	1	1	1	0
ID12117	37	0	3	17729.8	1	2	0	0	0	1	0
ID12118	46	0	2	41016	1	0	0	1	0	1	0
ID12119	62	0	0	26909.2	1	0	0	1	0	0	1
ID12120	31	1	3	22522.8	1	0	1	1	1	0	0
ID12121	61	1	0	57880.7	1	2	0	1	0	0	1
ID12122	50	1	3	16497.3	1	2	0	1	1	0	0
ID12123	54	1	0	38446.6	1	0	0	1	1	0	0
ID12124	27	0	3	15538.8	0	0	1	1	1	1	0
ID12125	22	1	0	12640.3	0	2	1	1	1	0	0
ID12126	56	1	0	41034	1	0	1	1	1	1	0
ID12127	45	1	0	20809.7	1	0	0	1	1	1	0
ID12128	39	0	3	20114	1	1	0	0	1	0	1
ID12129	39	0	0	29359.1	0	3	1	0	1	1	0
ID12130	61	1	1	24270.1	1	1	0	0	1	0	1
ID12131	61	0	1	22942.9	1	2	0	1	1	0	0
ID12132	20	0	3	16325.8	1	2	0	1	0	0	0
ID12133	45	1	2	23443.2	1	1	1	1	1	0	1
ID12134	33	0	0	29921.3	0	3	1	1	0	0	0
ID12135	43	1	2	37521.9	0	0	0	1	1	0	1
ID12136	27	0	0	19868	1	2	0	1	1	0	0
ID12137	19	1	1	10953	1	3	1	1	1	0	0
ID12138	36	0	1	13381	0	0	1	0	1	0	1
ID12139	43	0	3	18504.3	1	0	1	1	1	0	0
ID12140	66	0	2	25391.5	0	2	0	0	1	0	0
ID12141	55	1	3	26774.2	1	0	0	0	1	1	1
ID12142	47	0	0	26952.6	1	0	1	0	1	0	0
ID12143	67	1	3	55716.5	0	2	1	1	0	0	1
ID12144	32	0	3	27571.5	1	0	1	0	1	1	0
ID12145	20	1	0	13740	0	2	1	1	1	1	0
ID12146	64	1	0	52670.6	1	2	0	1	1	1	1
ID12147	50	0	0	13283.9	0	1	1	1	1	0	1
ID12148	29	1	0	13106.6	0	2	0	1	1	1	1
ID12149	52	1	0	39547.8	0	2	1	0	1	0	1
